Date	Query	IsImplicitIntent	Country	PopularityScore
2021-02-01	idph covid 19	False	United States	1
2021-02-01	register covid test	False	United Kingdom	1
2021-02-01	idph covid	False	United States	1
2021-02-01	coronavirus monitor	False	Germany	1
2021-02-01	idph coronavirus	False	United States	1
2021-02-01	idph	True	United States	2
2021-02-01	ides login	True	United States	2
2021-02-01	ides illinois unemployment	True	United States	11
2021-02-01	idaho vaccine for covid	False	United States	1
2021-02-01	idaho vaccine	True	United States	1
2021-02-01	idaho unemployment claimant portal	True	United States	1
2021-02-01	contra costa covid vaccines	False	United States	1
2021-02-01	idaho governor	True	United States	1
2021-02-01	covid chiffre du jour	False	France	1
2021-02-01	idaho covid vaccine info	False	United States	1
2021-02-01	ascension covid vaccine sign up	False	United States	1
2021-02-01	idaho covid vaccine	False	United States	1
2021-02-01	idaho covid cases	False	United States	1
2021-02-01	idaho covid	False	United States	1
2021-02-01	idaho coronavirus update	False	United States	1
2021-02-01	idaho coronavirus	False	United States	1
2021-02-01	icd10 covid	False	United States	1
2021-02-01	icd 10 history of covid 19	False	United States	1
2021-02-01	contra costa health	True	United States	1
2021-02-01	icd 10 history of covid	False	United States	1
2021-02-01	vaccin covid	False	Canada	1
2021-02-01	icd 10 for covid	False	United States	1
2021-02-01	am i eligible for covid vacine new york	False	United States	1
2021-02-01	icd 10 covid pneumonia	False	United States	1
2021-02-01	icd 10 covid 19	False	United States	1
2021-02-01	icd 10 covid	False	United States	1
2021-02-01	icd 10 code for covid pneumonia	False	United States	1
2021-02-01	icd 10 code for covid 19	False	United States	1
2021-02-01	icd 10 code for covid	False	United States	1
2021-02-01	icd 10 code covid	False	United States	1
2021-02-01	contra costa health services	True	United States	1
2021-02-01	icd 10 cm code for pneumonia due to covid	False	United States	1
2021-02-01	register a covid test	False	United Kingdom	1
2021-02-01	ibermectim covid	False	United States	1
2021-02-01	reinfocovid	False	France	1
2021-02-01	hyvee vaccine covid	False	United States	1
2021-02-01	hyvee covid vacinations	False	United States	1
2021-02-01	hyvee covid vaccine sign up	False	United States	1
2021-02-01	hyvee covid vaccine registration	False	United States	1
2021-02-01	hyvee covid vaccine form	False	United States	1
2021-02-01	hyvee covid vaccine consent	False	United States	1
2021-02-01	hyvee covid vaccine	False	United States	1
2021-02-01	contracted covid	False	United States	1
2021-02-01	hyvee covid testing	False	United States	1
2021-02-01	コロナ ワクチン 種類	True	Japan	1
2021-02-01	hyvee covid shots	False	United States	1
2021-02-01	coronavirus liveticker ntv	False	Germany	1
2021-02-01	hyvee covid 19 shots	False	United States	1
2021-02-01	hyvee covid	False	United States	1
2021-02-01	hyvee com covid	False	United States	1
2021-02-01	hyvee antibody testing	True	United States	1
2021-02-01	hydroxychloroquine for covid	False	United States	1
2021-02-01	hydroxychloroquine covid	False	United States	1
2021-02-01	hydroxychloroquine coronavirus	False	United States	1
2021-02-01	contraindications for covid vaccines	False	United States	1
2021-02-01	hydrogen peroxide uses	True	United States	1
2021-02-01	reinfo covid	False	France	1
2021-02-01	hyde amendment	True	United States	1
2021-02-01	covid chiffre	False	France	1
2021-02-01	hy vee vaccination consent form	True	United States	1
2021-02-01	hy vee covid vaccines	False	United States	1
2021-02-01	hy vee covid vaccine appointment	False	United States	1
2021-02-01	hy vee covid vaccine	False	United States	1
2021-02-01	hy vee covid shots	False	United States	1
