Date	Query	IsImplicitIntent	State	Country	PopularityScore
2020-06-01	azfamily news	True	Arizona	United States	12
2020-06-01	gazzetta ufficiale	True	Piedmont	Italy	8
2020-06-01	coronavirus trend in new york	False	New York	United States	1
2020-06-01	american dental association coronavirus	False	Michigan	United States	1
2020-06-01	second stimulus check	True	Utah	United States	5
2020-06-01	mbs online	True	Victoria	Australia	22
2020-06-01	ontario covid 19 update today	False	Ontario	Canada	2
2020-06-01	spain coronavirus update	False	West Midlands	United Kingdom	2
2020-06-01	stimulus check second round	True	Idaho	United States	3
2020-06-01	covid sd	False	South Dakota	United States	13
2020-06-01	coronavirus in california	False	California	United States	1
2020-06-01	マスク	True	Shiga	Japan	23
2020-06-01	coronavirus statistics	False	Colorado	United States	10
2020-06-01	ccl stock	True	Florida	United States	4
2020-06-01	halfords	True	Middlesbrough	United Kingdom	21
2020-06-01	pets at home	True	Merseyside	United Kingdom	13
2020-06-01	student finance login	True	Gloucestershire	United Kingdom	3
2020-06-01	azdhs coronavirus	False	Arizona	United States	3
2020-06-01	coronavirus tracker	False	New York	United States	3
2020-06-01	reproduktionszahl	True	Hesse	Germany	2
2020-06-01	uk death toll today	True	London	United Kingdom	2
2020-06-01	smyths toys uk	True	Nottingham City	United Kingdom	5
2020-06-01	tagesschau	True	Hamburg	Germany	100
2020-06-01	condor flüge	True	Bavaria	Germany	2
2020-06-01	ontario covid 19 update	False	Ontario	Canada	100
2020-06-01	second stimulus package 2020	True	Idaho	United States	5
2020-06-01	covid 19 update	False	South Dakota	United States	34
2020-06-01	coronavirus hawaii	False	California	United States	1
2020-06-01	coronavirus numbers	False	Colorado	United States	1
2020-06-01	2nd stimulus package 2020	True	Michigan	United States	3
2020-06-01	coronavirus dans le monde	False	Occitanie	France	1
2020-06-01	covid 19 update	False	Nairobi Area	Kenya	1
2020-06-01	hmrc login	True	Middlesbrough	United Kingdom	13
2020-06-01	stagecoach bus timetables	True	Gloucestershire	United Kingdom	2
2020-06-01	az covid cases	False	Arizona	United States	3
2020-06-01	coronavirus tips	False	New York	United States	1
2020-06-01	john hopkins coronavirus map	False	Victoria	Australia	13
2020-06-01	opodo	True	Hesse	Germany	3
2020-06-01	uk covid deaths today	False	London	United Kingdom	1
2020-06-01	covid19.el.go.kr	False	Gyeonggi	Korea (South)	1
2020-06-01	1177	True	Vastra Gotaland County	Sweden	30
2020-06-01	infonavit mi cuenta	True	Zacatecas	Mexico	1
2020-06-01	コロナウイルス	False	Shiga	Japan	23
2020-06-01	covid 19 south dakota	False	South Dakota	United States	20
2020-06-01	coronavirus florida	False	California	United States	1
2020-06-01	coronavirus map	False	Colorado	United States	13
2020-06-01	ontario covid 19 test results	False	Ontario	Canada	1
2020-06-01	second stimulus check	True	Idaho	United States	12
2020-06-01	p&o cruises	True	Merseyside	United Kingdom	2
2020-06-01	smyths toys uk	True	Gloucestershire	United Kingdom	3
2020-06-01	jet2holidays	True	Middlesbrough	United Kingdom	25
2020-06-01	az covid 19 update	False	Arizona	United States	4
2020-06-01	coronavirus symptoms	False	New York	United States	1
2020-06-01	covid 19 france	False	Provence-Alpes-Cote D'azur	France	1
2020-06-01	coronavirus	False	Shandong	China	65
2020-06-01	nzz	True	Hesse	Germany	6
2020-06-01	coronavirus españa	False	Andalusia	Spain	3
2020-06-01	uk covid deaths	False	London	United Kingdom	1
2020-06-01	고용보험홈페이지	True	Busan Gwangyeoksi	Korea (South)	30
2020-06-01	covid 19 sd	False	South Dakota	United States	2
2020-06-01	2nd stimulus check	True	Michigan	United States	3
2020-06-01	coronavirus face mask for sale	False	California	United States	5
2020-06-01	coronavirus losing potency	False	Colorado	United States	29
2020-06-01	jobseeker payment	True	Victoria	Australia	5
2020-06-01	ontario covid 19 numbers	False	Ontario	Canada	1
2020-06-01	sba disaster loans	True	Idaho	United States	1
2020-06-01	smyths	True	Gloucestershire	United Kingdom	1
2020-06-01	az covid 19	False	Arizona	United States	2
2020-06-01	morrisons	True	Middlesbrough	United Kingdom	30
2020-06-01	coronavirus stats	False	New York	United States	1
2020-06-01	slimming world	True	Nottingham City	United Kingdom	8
2020-06-01	コロナ	True	Shiga	Japan	82
2020-06-01	dichiarazione coronavirus	False	Lombardy	Italy	1
2020-06-01	autocertificazione	True	Lombardy	Italy	3
2020-06-01	covid 19 map	False	South Dakota	United States	12
2020-06-01	ntv livestream	True	Hesse	Germany	2
2020-06-01	uk covid 19 deaths	False	London	United Kingdom	1
2020-06-01	coronavirus deaths	False	California	United States	2
