Date	Query	IsImplicitIntent	State	Country	PopularityScore
2020-08-01	lysol	True	Colorado	United States	2
2020-08-01	florida covid cases	False	Texas	United States	1
2020-08-01	coronavirus n95 face mask for sale	False	Quebec	Canada	4
2020-08-01	australia coronavirus	False	New South Wales	Australia	3
2020-08-01	johns hopkins coronavirus dashboard	False	Wisconsin	United States	3
2020-08-01	pa.gov coronavirus	False	Pennsylvania	United States	1
2020-08-01	coronavirus update	False	Shanghai	China	8
2020-08-01	florida covid	False	Texas	United States	1
2020-08-01	john hopkins coronavirus map	False	Wisconsin	United States	2
2020-08-01	etsy face mask	True	Tennessee	United States	1
2020-08-01	florida coronavirus update	False	Texas	United States	1
2020-08-01	coronavirus	False	Shanghai	China	8
2020-08-01	indiana school student coronavirus	False	Wisconsin	United States	2
2020-08-01	3m n95 mask	True	California	United States	1
2020-08-01	corona virus update	False	Minnesota	United States	1
2020-08-01	student finance login	True	London	United Kingdom	11
2020-08-01	john hopkins coronavirus map	False	Virginia	United States	3
2020-08-01	florida coronavirus	False	Texas	United States	1
2020-08-01	coronavirus lazio oggi	False	Latium	Italy	1
2020-08-01	worldometer coronavirus	False	Aberdeen City	United Kingdom	1
2020-08-01	indeed job search	True	Wisconsin	United States	1
2020-08-01	peggy noonan	True	Pennsylvania	United States	1
2020-08-01	coronavirus update	False	South Australia	Australia	48
2020-08-01	wilko	True	Durham	United Kingdom	20
2020-08-01	florida 7,000 coronavirus	False	Texas	United States	2
2020-08-01	how many coronavirus cases	False	Wisconsin	United States	1
2020-08-01	lysol spray disinfectant	True	Colorado	United States	1
2020-08-01	fauci goggles	True	Texas	United States	2
2020-08-01	herman cain dies	True	Wisconsin	United States	2
2020-08-01	wickes	True	Durham	United Kingdom	24
2020-08-01	fauci	True	Texas	United States	1
2020-08-01	johns hopkins coronavirus dashboard	False	Virginia	United States	8
2020-08-01	herman cain covid	False	Wisconsin	United States	2
2020-08-01	coronavirus masks sale	False	Quebec	Canada	7
2020-08-01	ameli	True	Brittany	France	50
2020-08-01	pennsylvania coronavirus	False	Pennsylvania	United States	6
2020-08-01	corona virus	False	Minnesota	United States	1
2020-08-01	student finance	True	London	United Kingdom	5
2020-08-01	face shields for coronavirus	False	Texas	United States	2
2020-08-01	tui	True	Durham	United Kingdom	8
2020-08-01	governor evers	True	Wisconsin	United States	2
2020-08-01	face shields	True	Texas	United States	2
2020-08-01	埼玉県	True	Saitama	Japan	100
2020-08-01	gaiter face mask	True	Wisconsin	United States	2
2020-08-01	indiana coronavirus cases	False	Indiana	United States	1
2020-08-01	the range	True	Durham	United Kingdom	12
2020-08-01	volotea sito ufficiale	True	Veneto	Italy	10
2020-08-01	face masks made in usa	True	Texas	United States	1
2020-08-01	kabuki theater resumes coronavirus	False	Virginia	United States	1
2020-08-01	ndr	True	Saxony	Germany	14
2020-08-01	florida coronavirus update	False	Wisconsin	United States	1
2020-08-01	pennsylvania coronavirus cases	False	Pennsylvania	United States	1
2020-08-01	face masks for sale online	True	Texas	United States	5
2020-08-01	stimulus update	True	Florida	United States	27
2020-08-01	worldometer coronavirus	False	West Yorkshire	United Kingdom	15
2020-08-01	florida 7,000 coronavirus	False	Wisconsin	United States	3
2020-08-01	screwfix	True	Durham	United Kingdom	100
2020-08-01	viaggiare sicuri	True	Veneto	Italy	1
2020-08-01	ri coronavirus	False	Rhode Island	United States	1
2020-08-01	face masks for sale for coronavirus	False	Texas	United States	6
2020-08-01	cdc coronavirus update	False	Minnesota	United States	5
2020-08-01	fauci	True	Wisconsin	United States	1
2020-08-01	specsavers	True	London	United Kingdom	9
2020-08-01	wilko	True	West Yorkshire	United Kingdom	29
2020-08-01	疫情	True	Xinjiang Uygur	China	1
