Date	Query	IsImplicitIntent	Country	PopularityScore
2020-03-01	corona virus update	False	Malta	90
2020-03-01	coronavirus toscana	False	Italy	3
2020-03-01	gesundheitsamt frankfurt	True	Germany	1
2020-03-01	coronavirus by the numbers	False	United States	1
2020-03-01	coronavirus espagne	False	Spain	1
2020-03-01	details about the death from coronavirus in us	False	United States	1
2020-03-01	hunter new england health	True	Australia	1
2020-03-01	buitenlandse zaken	True	Netherlands	1
2020-03-01	kane county	True	United States	1
2020-03-01	does russia have any coronavirus cases	False	United States	1
2020-03-01	what countries have the coronavirus	False	United States	1
2020-03-01	https://www.anzen.mofa.go.jp/covid19/pdfhistory_world.html	False	Japan	1
2020-03-01	latest corona virus news	False	United States	1
2020-03-01	coronavirus treatment	False	United Kingdom	1
2020-03-01	coronavirus symptons	False	United Kingdom	1
2020-03-01	prepping for coronavirus	False	United States	1
2020-03-01	signs of coronavirus in humans	False	United States	1
2020-03-01	coronavirus thüringen	False	Germany	1
2020-03-01	copd und corona virus	False	Germany	1
2020-03-01	coronavirus peru	False	Peru	18
2020-03-01	rhode island coronavirus	False	United States	4
2020-03-01	corona virus test kits	False	United States	1
2020-03-01	latest on corona virus spread	False	United States	1
2020-03-01	karte corona virus	False	Germany	1
2020-03-01	glenn beck coronavirus	False	United States	1
2020-03-01	coronavirus monaco	False	France	1
2020-03-01	biofire	True	United States	1
2020-03-01	new england journal of medicine coronavirus	False	United States	1
2020-03-01	signs of coronavirus in humans	False	Canada	1
2020-03-01	coronavirus wie lange ansteckend	False	Germany	1
2020-03-01	coronavirus haute savoie contaminé	False	France	1
2020-03-01	carnovirus news	False	United States	1
2020-03-01	codacons	True	Italy	1
2020-03-01	corona virus live	False	Germany	1
2020-03-01	ameli	True	Martinique	42
2020-03-01	corona virus ursprung	False	Germany	1
2020-03-01	coronavirus update	False	Fiji	1
2020-03-01	carte du coronavirus dans le monde	False	France	1
2020-03-01	conavirus update	False	United States	1
2020-03-01	corona virus	False	Sweden	2
2020-03-01	coronavirus dundee	False	United Kingdom	1
2020-03-01	coronavirus	False	Tanzania	100
2020-03-01	corona virus in france	False	United Kingdom	1
2020-03-01	newsnow corona virus	False	United Kingdom	1
2020-03-01	coronavirus síntomas	False	Mexico	12
2020-03-01	snohomish coronavirus	False	United States	1
2020-03-01	coronavirus seine saint denis	False	France	1
2020-03-01	focus coronavirus	False	Germany	1
2020-03-01	us cdc coronavirus	False	United States	1
2020-03-01	r/coronavirus	False	United States	1
2020-03-01	coronavirus spain	False	Canada	1
2020-03-01	michigan governor	True	United States	1
2020-03-01	srlf	True	France	1
2020-03-01	coronavirus numbers update	False	United States	1
2020-03-01	st louis county mn	True	United States	1
2020-03-01	corona virus florida	False	United States	1
2020-03-01	uk coronavirus	False	China	1
2020-03-01	coronna virus	False	Germany	1
2020-03-01	corona virus treatment	False	United States	1
2020-03-01	who started the coronavirus	False	United Kingdom	1
2020-03-01	arcgis coronavirus map	False	United States	1
2020-03-01	犬コロナウイルス感染症	False	Japan	1
2020-03-01	coronavirus in franken	False	Germany	1
2020-03-01	coronavirusets spridning	False	Sweden	1
2020-03-01	heinsberg coronavirus	False	Germany	1
2020-03-01	coronavirus in baden-württemberg	False	Germany	1
2020-03-01	coronavirus var	False	France	1
2020-03-01	cura para el coronavirus	False	Mexico	1
2020-03-01	corona virus information	False	Australia	1
2020-03-01	high risk coronavirus countries	False	United States	1
2020-03-01	coranovirus españa	False	Spain	1
2020-03-01	coronavirus rottweil	False	Germany	1
2020-03-01	corona virus in sarasota	False	United States	1
2020-03-01	coronovirus in scotland	False	United Kingdom	1
2020-03-01	how to prevent corona virus	False	United States	1
2020-03-01	coronavirus tetbury	False	United Kingdom	1
