Date	Query	IsImplicitIntent	State	Country	PopularityScore
2020-07-01	mot check	True	Lincolnshire	United Kingdom	14
2020-07-01	virgin holidays	True	Hampshire	United Kingdom	1
2020-07-01	tsb bank	True	Edinburgh City	United Kingdom	8
2020-07-01	morrisons	True	Lincolnshire	United Kingdom	35
2020-07-01	villa plus	True	Hampshire	United Kingdom	1
2020-07-01	travel republic	True	Edinburgh City	United Kingdom	11
2020-07-01	martin lewis money saving expert	True	Lincolnshire	United Kingdom	5
2020-07-01	universal credit	True	Hampshire	United Kingdom	18
2020-07-01	the range	True	Edinburgh City	United Kingdom	27
2020-07-01	love holidays	True	Lincolnshire	United Kingdom	5
2020-07-01	knowsley safari park	True	West Yorkshire	United Kingdom	3
2020-07-01	rinnovo patente	True	Veneto	Italy	1
2020-07-01	uk coronavirus update	False	Hampshire	United Kingdom	6
2020-07-01	tesco home delivery	True	Edinburgh City	United Kingdom	7
2020-07-01	covid 19 testing locations	False	Nevada	United States	4
2020-07-01	lloyds business banking	True	Lincolnshire	United Kingdom	5
2020-07-01	tui holidays 2020	True	Hampshire	United Kingdom	3
2020-07-01	superdrug	True	Edinburgh City	United Kingdom	8
2020-07-01	leicester lockdown map	True	Lincolnshire	United Kingdom	4
2020-07-01	tui holidays	True	Hampshire	United Kingdom	2
2020-07-01	stena line	True	Edinburgh City	United Kingdom	2
2020-07-01	jet2holidays	True	Lincolnshire	United Kingdom	9
2020-07-01	tui	True	Hampshire	United Kingdom	8
2020-07-01	specsavers	True	Edinburgh City	United Kingdom	3
2020-07-01	home bargains	True	Lincolnshire	United Kingdom	4
2020-07-01	travis perkins	True	Hampshire	United Kingdom	9
2020-07-01	smyths toys uk	True	Edinburgh City	United Kingdom	8
2020-07-01	hmrc login	True	Lincolnshire	United Kingdom	39
2020-07-01	travel republic	True	Hampshire	United Kingdom	2
2020-07-01	slimming world	True	Edinburgh City	United Kingdom	4
2020-07-01	halfords	True	Lincolnshire	United Kingdom	15
2020-07-01	the range	True	Hampshire	United Kingdom	27
2020-07-01	latest coronavirus news	False	West Yorkshire	United Kingdom	2
2020-07-01	salvini	True	Veneto	Italy	1
2020-07-01	screwfix	True	Edinburgh City	United Kingdom	66
2020-07-01	gov.uk coronavirus	False	Lincolnshire	United Kingdom	4
2020-07-01	covid 19 tracker	False	Nevada	United States	2
2020-07-01	tesco home delivery	True	Hampshire	United Kingdom	25
2020-07-01	scottish news	True	Edinburgh City	United Kingdom	27
2020-07-01	gov.uk	True	Lincolnshire	United Kingdom	37
2020-07-01	sykes cottages uk	True	Hampshire	United Kingdom	2
2020-07-01	scottish government coronavirus update	False	Edinburgh City	United Kingdom	50
2020-07-01	dvla	True	Lincolnshire	United Kingdom	28
2020-07-01	superdrug	True	Hampshire	United Kingdom	7
2020-07-01	scottish government coronavirus	False	Edinburgh City	United Kingdom	3
2020-07-01	dunelm	True	Lincolnshire	United Kingdom	28
2020-07-01	student finance login	True	Hampshire	United Kingdom	8
2020-07-01	scotrail	True	Edinburgh City	United Kingdom	16
2020-07-01	debenhams uk	True	Lincolnshire	United Kingdom	15
2020-07-01	student finance	True	Hampshire	United Kingdom	4
2020-07-01	scotland coronavirus update	False	Edinburgh City	United Kingdom	26
2020-07-01	currys pc world	True	Lincolnshire	United Kingdom	100
2020-07-01	specsavers	True	Hampshire	United Kingdom	6
2020-07-01	sainsburys groceries	True	Edinburgh City	United Kingdom	31
2020-07-01	leeds building society	True	West Yorkshire	United Kingdom	14
2020-07-01	smart working	True	Veneto	Italy	3
2020-07-01	covid deaths today uk	False	Lincolnshire	United Kingdom	7
2020-07-01	smyths toys uk	True	Hampshire	United Kingdom	10
2020-07-01	covid 19 update	False	Nevada	United States	26
2020-07-01	sainsburys	True	Edinburgh City	United Kingdom	22
2020-07-01	coventry building society	True	Lincolnshire	United Kingdom	4
2020-07-01	slimming world	True	Hampshire	United Kingdom	3
2020-07-01	pets at home	True	Edinburgh City	United Kingdom	13
2020-07-01	coronavirus worldometers	False	Lincolnshire	United Kingdom	3
2020-07-01	screwfix	True	Hampshire	United Kingdom	100
2020-07-01	nicola sturgeon latest news	True	Edinburgh City	United Kingdom	3
2020-07-01	coronavirus update	False	Lincolnshire	United Kingdom	17
2020-07-01	sainsburys groceries	True	Hampshire	United Kingdom	49
2020-07-01	nicola sturgeon	True	Edinburgh City	United Kingdom	5
2020-07-01	coronavirus uk	False	Lincolnshire	United Kingdom	25
2020-07-01	sainsburys	True	Hampshire	United Kingdom	25
2020-07-01	nhs inform scotland	True	Edinburgh City	United Kingdom	9
2020-07-01	coronavirus	False	Lincolnshire	United Kingdom	7
2020-07-01	public health england	True	Hampshire	United Kingdom	5
2020-07-01	nhs inform	True	Edinburgh City	United Kingdom	19
2020-07-01	companies house beta	True	Lincolnshire	United Kingdom	9
2020-07-01	leicester lockdown	True	West Yorkshire	United Kingdom	9
2020-07-01	statistiche coronavirus	False	Veneto	Italy	4
2020-07-01	portsmouth news	True	Hampshire	United Kingdom	22
2020-07-01	nationwide building society	True	Edinburgh City	United Kingdom	13
2020-07-01	covid cases	False	Nevada	United States	1
2020-07-01	companies house	True	Lincolnshire	United Kingdom	53
2020-07-01	phonics play	True	Hampshire	United Kingdom	8
2020-07-01	mot check	True	Edinburgh City	United Kingdom	13
2020-07-01	caravan and motorhome club	True	Lincolnshire	United Kingdom	9
2020-07-01	pets at home	True	Hampshire	United Kingdom	12
2020-07-01	morrisons	True	Edinburgh City	United Kingdom	39
2020-07-01	camping and caravanning club	True	Lincolnshire	United Kingdom	5
2020-07-01	p&o cruises	True	Hampshire	United Kingdom	1
2020-07-01	love holidays	True	Edinburgh City	United Kingdom	9
2020-07-01	butlins skegness	True	Lincolnshire	United Kingdom	3
2020-07-01	ocado	True	Hampshire	United Kingdom	23
2020-07-01	loganair	True	Edinburgh City	United Kingdom	4
2020-07-01	butlins	True	Lincolnshire	United Kingdom	3
2020-07-01	nationwide building society	True	Hampshire	United Kingdom	19
2020-07-01	leeds building society	True	Edinburgh City	United Kingdom	1
2020-07-01	boots the chemist	True	Lincolnshire	United Kingdom	3
2020-07-01	national trust	True	Hampshire	United Kingdom	10
