Date	Query	IsImplicitIntent	State	Country	PopularityScore
2020-03-01	coronavirus update	False	South Eastern	Malta	1
2020-03-01	coronavirus risikogebiete	False	Baden-Wuerttemberg	Germany	1
2020-03-01	coronavirus köln	False	North Rhine-Westphalia	Germany	3
2020-03-01	que es el coronavirus	False	California	United States	1
2020-03-01	coronavirus	False	Cheshire	United Kingdom	100
2020-03-01	hmrc login	True	West Yorkshire	United Kingdom	15
2020-03-01	segurança social directa	True	Santarem	Portugal	1
2020-03-01	n95 mask	True	South Carolina	United States	4
2020-03-01	n95 respirator mask	True	Missouri	United States	1
2020-03-01	coronavirus	False	Mississippi	United States	100
2020-03-01	coronavirus updates	False	Washington	United States	1
2020-03-01	coronavirus update map	False	Oregon	United States	1
2020-03-01	wickes	True	Tyne And Wear	United Kingdom	46
2020-03-01	2019-ncov	True	Guangdong	China	8
2020-03-01	bag coronavirus	False	Berne	Switzerland	48
2020-03-01	coronavirus	False	Cardiff	United Kingdom	100
2020-03-01	coronavirus map	False	Arkansas	United States	2
2020-03-01	ansa notizie	True	Trentino-Alto Adige	Italy	5
2020-03-01	coronavirus uk	False	Suffolk	United Kingdom	1
2020-03-01	corona virus map	False	Colorado	United States	7
2020-03-01	dvla	True	Cornwall	United Kingdom	11
2020-03-01	coronavirus symptoms	False	Kentucky	United States	13
2020-03-01	tgcom	True	Tuscany	Italy	58
2020-03-01	hmrc login	True	Middlesex	United Kingdom	19
2020-03-01	pets at home	True	Essex	United Kingdom	16
2020-03-01	xfl	True	Oklahoma	United States	21
2020-03-01	puy du fou	True	Auvergne-Rhone-Alpes	France	1
2020-03-01	cnn coronavirus	False	New York	United States	1
2020-03-01	tagesschau	True	Hamburg	Germany	48
2020-03-01	coronavirus	False	Utah	United States	85
2020-03-01	corona virus update	False	Cambridgeshire	United Kingdom	6
2020-03-01	corsica ferries	True	Ile-De-France	France	3
2020-03-01	coronavirus	False	Valais	Switzerland	100
2020-03-01	covid-19	False	Kanagawa	Japan	2
2020-03-01	dogs with coronavirus	False	Ohio	United States	1
2020-03-01	koronawirus w polsce	True	Slaskie	Poland	29
