Date	Query	IsImplicitIntent	State	Country	PopularityScore
2020-02-01	coronavirus death	False	New York	United States	1
2020-02-01	coronavirus death toll	False	Colorado	United States	20
2020-02-01	マスク	True	Okayama	Japan	50
2020-02-01	マスク	True	Kumamoto	Japan	100
2020-02-01	coronavirus humain	False	Quebec	Canada	1
2020-02-01	マスク	True	Nara	Japan	75
2020-02-01	coronavirus	False	Bournemouth	United Kingdom	1
2020-02-01	corona virus	False	Alabama	United States	10
2020-02-01	コロナウイルス	False	Ibaraki	Japan	100
2020-02-01	coronavirus deaths	False	Colorado	United States	2
2020-02-01	how did the coronavirus start	False	Ohio	United States	2
2020-02-01	coronavirus	False	Greater Accra Region	Ghana	1
2020-02-01	coronavirus china	False	Shanghai	China	4
2020-02-01	wuhan virus	True	Guangdong	China	5
2020-02-01	coronavirus in united states	False	Washington	United States	2
2020-02-01	coronavirus	False	Cornwall	United Kingdom	1
2020-02-01	コロナウイルス	False	Saitama	Japan	100
2020-02-01	coronavirus death toll	False	Quebec	Canada	1
2020-02-01	tucker carlson	True	Wisconsin	United States	1
2020-02-01	coronavirus	False	Buskerud	Norway	1
2020-02-01	coronavirus	False	Nuevo Leon	Mexico	100
2020-02-01	coronovirus	False	Georgia	United States	1
2020-02-01	coronavirus in canada	False	British Columbia	Canada	3
2020-02-01	how did the coronavirus start	False	Ontario	Canada	1
2020-02-01	wuhan	True	Beijing	China	15
2020-02-01	china coronavirus	False	New York	United States	3
2020-02-01	coronavirus death toll	False	Louisiana	United States	12
2020-02-01	how many people have died from coronavirus	False	West Midlands	United Kingdom	1
2020-02-01	coronavirus death toll	False	Texas	United States	19
2020-02-01	cdc coronavirus	False	New Jersey	United States	5
2020-02-01	massachusetts man coronavirus	False	Ontario	Canada	3
2020-02-01	corona virus	False	Ile-De-France	France	6
2020-02-01	who coronavirus	False	New Jersey	United States	1
2020-02-01	coronavirus death toll	False	Maine	United States	15
2020-02-01	worthing hospital	True	West Sussex	United Kingdom	1
2020-02-01	coronavirus	False	Hunan	China	100
2020-02-01	wuhan coronavirus	False	London	United Kingdom	1
2020-02-01	corona virus update	False	Michigan	United States	45
2020-02-01	massachusetts man coronavirus	False	Idaho	United States	31
2020-02-01	coronavirus news	False	Piedmont	Italy	2
2020-02-01	coronavirus chine	False	Quebec	Canada	2
2020-02-01	coronavirus symptoms	False	South Yorkshire	United Kingdom	3
2020-02-01	corona virus	False	Zurich	Switzerland	1
2020-02-01	coronavirus in nyc	False	New York	United States	1
2020-02-01	corona virus update	False	Gauteng	South Africa	64
2020-02-01	wuhan virus	True	None	Singapore	50
2020-02-01	コロナ	True	Ibaraki	Japan	1
2020-02-01	corona virus map	False	California	United States	3
2020-02-01	coronavirus canada	False	Quebec	Canada	4
2020-02-01	wuhan coronavirus	False	Beijing	China	20
2020-02-01	wuhan china	True	Connecticut	United States	2
2020-02-01	corona virus	False	Lagos	Nigeria	38
2020-02-01	coronavirus	False	Yucatan	Mexico	1
2020-02-01	coronavirus uk	False	Hertfordshire	United Kingdom	8
2020-02-01	what is coronavirus	False	Minnesota	United States	6
2020-02-01	massachusetts man coronavirus	False	Nebraska	United States	31
2020-02-01	コロナ	True	Aichi	Japan	22
2020-02-01	expressen	True	Vaesternorrland	Sweden	1
2020-02-01	coronavirus map	False	London	United Kingdom	2
2020-02-01	coronavirus update	False	Zhejiang	China	1
