Date	Query	IsImplicitIntent	State	Country	PopularityScore
2020-10-01	morrisons	True	Bournemouth	United Kingdom	22
2020-10-01	tgcom	True	Molise	Italy	1
2020-10-01	huddersfield examiner	True	Greater Manchester	United Kingdom	2
2020-10-01	arizona coronavirus	False	Washington	United States	1
2020-10-01	sainsburys	True	Cardiff	United Kingdom	16
2020-10-01	how many cases of coronavirus in my area	False	Greater Manchester	United Kingdom	2
2020-10-01	rai news	True	Lombardy	Italy	4
2020-10-01	free covid 19 test near me	False	New Jersey	United States	1
2020-10-01	wickes	True	West Yorkshire	United Kingdom	32
2020-10-01	spoon river drive 2020	True	Illinois	United States	2
2020-10-01	public health wales	True	Cardiff	United Kingdom	83
2020-10-01	at&t	True	Washington	United States	14
2020-10-01	hoseasons	True	Greater Manchester	United Kingdom	4
2020-10-01	pets at home	True	Cardiff	United Kingdom	16
2020-10-01	home bargains	True	Greater Manchester	United Kingdom	8
2020-10-01	stimulus	True	Illinois	United States	13
2020-10-01	ocado	True	Cardiff	United Kingdom	2
2020-10-01	regione basilicata	True	Campania	Italy	4
2020-10-01	ben shapiro	True	Washington	United States	2
2020-10-01	hmrc login	True	Greater Manchester	United Kingdom	32
2020-10-01	covid 19 symptoms	False	Ohio	United States	6
2020-10-01	drudge report 2020	True	Michigan	United States	3
2020-10-01	wickes	True	Wokingham	United Kingdom	11
2020-10-01	covid stats	False	Texas	United States	1
2020-10-01	nationwide building society	True	Cardiff	United Kingdom	8
2020-10-01	second stimulus check update	True	Iowa	United States	8
2020-10-01	dhhs covid	False	Victoria	Australia	1
2020-10-01	housing market	True	California	United States	1
2020-10-01	wilko	True	West Yorkshire	United Kingdom	19
2020-10-01	hays travel	True	Greater Manchester	United Kingdom	2
2020-10-01	stimulus check 2	True	Illinois	United States	47
2020-10-01	wakefield council	True	Wokingham	United Kingdom	6
2020-10-01	benton franklin health department	True	Washington	United States	3
2020-10-01	partena professional	True	Brussels Region	Belgium	8
2020-10-01	morrisons	True	Cardiff	United Kingdom	36
2020-10-01	haven holidays 2020	True	Greater Manchester	United Kingdom	1
2020-10-01	universal credit	True	Wokingham	United Kingdom	3
2020-10-01	state by state coronavirus cases	False	Wisconsin	United States	1
2020-10-01	martin lewis money saving expert	True	Cardiff	United Kingdom	6
2020-10-01	stimulus check 2 update today	True	Illinois	United States	3
2020-10-01	haven holidays	True	Greater Manchester	United Kingdom	2
2020-10-01	liverpool lockdown	True	Glasgow City	United Kingdom	3
2020-10-01	best covid 19 masks	False	Washington	United States	2
2020-10-01	tucker carlson	True	Alabama	United States	1
2020-10-01	screwfix	True	Wokingham	United Kingdom	28
2020-10-01	home bargains	True	Cardiff	United Kingdom	2
2020-10-01	alabama coronavirus	False	Alabama	United States	8
2020-10-01	florida covid	False	New Jersey	United States	1
2020-10-01	worldometer coronavirus	False	West Yorkshire	United Kingdom	11
2020-10-01	東京都	True	Hokkaido	Japan	7
2020-10-01	halifax courier	True	Greater Manchester	United Kingdom	1
2020-10-01	sainsburys	True	Wokingham	United Kingdom	8
2020-10-01	stimulus checks	True	Illinois	United States	2
2020-10-01	hmrc login	True	Cardiff	United Kingdom	32
2020-10-01	best masks for covid 19	False	Washington	United States	2
2020-10-01	halfords	True	Greater Manchester	United Kingdom	16
2020-10-01	ocado	True	Wokingham	United Kingdom	2
2020-10-01	covid numbers	False	Texas	United States	1
2020-10-01	radio gold	True	Lombardy	Italy	1
2020-10-01	halfords	True	Cardiff	United Kingdom	25
2020-10-01	st croix county wi coronavirus	False	Wisconsin	United States	1
