Date	Query	IsImplicitIntent	Country	PopularityScore
2020-04-01	coronavirus scotland gov	False	United Kingdom	1
2020-04-01	origin of coronavirus in china	False	United States	1
2020-04-01	wv coronavirus updates	False	United States	1
2020-04-01	covid 19 deaths in usa	False	United States	1
2020-04-01	coronavirus karte verbreitung	False	Germany	1
2020-04-01	coronavirus vs allergies vs flu	False	United States	1
2020-04-01	decreto legge 17 marzo 2020	True	Italy	1
2020-04-01	easter coronavirus	False	United States	1
2020-04-01	montana coronavirus	False	United States	2
2020-04-01	skid row coronavirus	False	United States	1
2020-04-01	china coronavirus infection rate	False	United States	1
2020-04-01	coronavirus affordable care act	False	United States	1
2020-04-01	maryland governor coronavirus	False	United States	1
2020-04-01	wv coronavirus update	False	United States	1
2020-04-01	coronavirus day by day statistics	False	United States	1
2020-04-01	origin of covid 19	False	United States	1
2020-04-01	coronavirus bayern karte	False	Germany	1
2020-04-01	covid 19 niagara falls ontario	False	Canada	1
2020-04-01	eating bats coronavirus	False	United States	1
2020-04-01	covid 19 lockdown	False	United States	1
2020-04-01	coronavirus oklahoma	False	United States	1
2020-04-01	bing covid 19	False	United States	1
2020-04-01	corona virus statistics australia	False	Australia	4
2020-04-01	attestation derogatoire coronavirus	False	France	1
2020-04-01	coronavirus coloring page	False	United States	1
2020-04-01	salvoconducto coronavirus	False	Spain	1
2020-04-01	who coronavirus map	False	Germany	1
2020-04-01	covid 19 tracker world	False	India	13
2020-04-01	bono covid-19	False	Chile	12
2020-04-01	echinacea coronavirus	False	United States	1
2020-04-01	wv coronavirus map	False	United States	1
2020-04-01	ramipril and covid 19	False	United Kingdom	1
2020-04-01	coronavirus map	False	Estonia	13
2020-04-01	coronavirus cases in pennsylvania by county	False	United States	1
2020-04-01	coronavirus task force briefing today	False	United States	1
2020-04-01	wv coronavirus death	False	United States	1
2020-04-01	origin of the coronavirus	False	United States	1
2020-04-01	covid 19 testing uk	False	United Kingdom	1
2020-04-01	global death toll coronavirus	False	United Kingdom	1
2020-04-01	covid19 live	False	United Kingdom	1
2020-04-01	eclkc	True	United States	1
2020-04-01	montana coronavirus by county	False	United States	1
2020-04-01	lysol coronavirus	False	United States	1
2020-04-01	covid 19 death by state	False	United States	1
2020-04-01	coronavirus okaloosa county	False	United States	1
2020-04-01	corona virus statistics	False	Australia	19
2020-04-01	wv coronavirus cases	False	United States	1
2020-04-01	coronavirus treatment cdc	False	United States	1
2020-04-01	ecuador coronavirus	False	Mexico	5
2020-04-01	cases of coronavirus in pennsylvania	False	United States	1
2020-04-01	coronavirus tirol	False	Austria	2
2020-04-01	eclkc head start	True	United States	1
2020-04-01	russia coronavirus	False	Australia	1
2020-04-01	coronavirus monitor morgenpost	False	Germany	1
2020-04-01	ottawa covid 19 cases	False	Canada	1
2020-04-01	origination of coronavirus	False	United States	1
2020-04-01	charles lieber	True	United States	1
2020-04-01	wv coronavirus	False	United States	1
2020-04-01	vat coronavirus	False	United Kingdom	1
2020-04-01	corona virus eua	False	Brazil	1
2020-04-01	dibujo del coronavirus	False	Spain	1
2020-04-01	coronavirus by location	False	United Kingdom	1
2020-04-01	economic effects of coronavirus	False	United States	1
2020-04-01	coronavirus affecting economy	False	United States	1
2020-04-01	coronavirus augsburg	False	Germany	1
2020-04-01	coronavirus en israel	False	France	1
2020-04-01	who coronavirus karte	False	Germany	1
2020-04-01	coronavirus ohio.gov	False	United States	1
2020-04-01	chinese crematoriums coronavirus	False	United States	1
2020-04-01	covid 19 warning signage	False	United States	1
2020-04-01	corona virus south australia	False	Australia	1
2020-04-01	wv corona virus update	False	United States	1
2020-04-01	coronavirus disegni	False	Italy	1
2020-04-01	economic impact of coronavirus	False	United States	1
2020-04-01	origins of coronavirus	False	United States	1
2020-04-01	maryland health department coronavirus	False	United States	1
2020-04-01	evolution coronavirus france	False	France	1
2020-04-01	corona virus alabama	False	United States	1
2020-04-01	coronavirus update italy	False	United States	1
2020-04-01	chattanooga coronavirus	False	United States	1
2020-04-01	rainbows in windows	True	United Kingdom	2
2020-04-01	aktuelle zahlen coronavirus	False	Germany	3
2020-04-01	coronavirus scotland deaths	False	United Kingdom	1
2020-04-01	coronavirus update in nj	False	United States	1
2020-04-01	economy and coronavirus	False	United States	1
2020-04-01	decreto legge 25 marzo 2020	True	Italy	1
2020-04-01	montana coronavirus cases	False	United States	1
2020-04-01	skagit county health department	True	United States	1
2020-04-01	worldometer coronavirus italy	False	United Kingdom	1
2020-04-01	wv corona virus cases	False	United States	1
2020-04-01	memes del coronavirus	False	Spain	1
2020-04-01	orlando coronavirus	False	United States	1
2020-04-01	coronavirus ohio updates	False	United States	1
2020-04-01	coronavirus map	False	Peru	3
2020-04-01	coronavirus	False	Estonia	55
2020-04-01	ecuador and coronavirus	False	United States	1
2020-04-01	corona virus restrictions	False	Australia	1
2020-04-01	covid 19 map hopkins	False	United States	1
2020-04-01	covid 19 niagara region	False	Canada	1
