Date	Query	IsImplicitIntent	State	Country	PopularityScore
2020-05-01	coronavirus uk	False	Cambridgeshire	United Kingdom	18
2020-05-01	coronavirus en canarias	False	Canary Islands	Spain	3
2020-05-01	face mask pattern free	True	Missouri	United States	4
2020-05-01	coronavirus latest	False	Cambridgeshire	United Kingdom	1
2020-05-01	face mask pattern	True	Missouri	United States	4
2020-05-01	coronavirus	False	Cambridgeshire	United Kingdom	26
2020-05-01	easter 2020	True	Missouri	United States	4
2020-05-01	companies house beta	True	Cambridgeshire	United Kingdom	24
2020-05-01	drudge report 2020	True	Missouri	United States	9
2020-05-01	companies house	True	Cambridgeshire	United Kingdom	39
2020-05-01	coronavirus canarias	False	Canary Islands	Spain	7
2020-05-01	dr fauci	True	Missouri	United States	3
2020-05-01	coronavirus	False	Canary Islands	Spain	19
2020-05-01	boris johnson	True	Cambridgeshire	United Kingdom	5
2020-05-01	cuomo	True	Missouri	United States	1
2020-05-01	b&q	True	Cambridgeshire	United Kingdom	52
2020-05-01	crocs.com	True	Missouri	United States	7
2020-05-01	coronavirus update	False	Francisco Morazan	Honduras	1
2020-05-01	crocs healthcare	True	Missouri	United States	9
2020-05-01	worldometers info coronavirus	False	Wielkopolskie	Poland	3
2020-05-01	crocs for healthcare workers	True	Missouri	United States	57
2020-05-01	covid19	False	Missouri	United States	5
2020-05-01	covid update	False	Missouri	United States	2
2020-05-01	covid tracker	False	Missouri	United States	1
2020-05-01	covid toes	False	Missouri	United States	3
2020-05-01	covid symptoms	False	Missouri	United States	2
2020-05-01	covid map	False	Missouri	United States	3
2020-05-01	covid cases in missouri	False	Missouri	United States	1
2020-05-01	covid antibody testing	False	Missouri	United States	2
2020-05-01	covid 19 update missouri	False	Missouri	United States	3
2020-05-01	koronawirus w polsce	True	Wielkopolskie	Poland	100
2020-05-01	covid 19 update	False	Missouri	United States	40
2020-05-01	covid 19 tracker	False	Missouri	United States	2
2020-05-01	covid 19 symptoms	False	Missouri	United States	2
2020-05-01	covid 19 stats	False	Missouri	United States	1
2020-05-01	coronavirus	False	Galicia	Spain	28
2020-05-01	covid 19 missouri	False	Missouri	United States	10
2020-05-01	koronawirus mapa	True	Wielkopolskie	Poland	9
2020-05-01	covid 19 map	False	Missouri	United States	8
2020-05-01	covid 19 cases by state	False	Missouri	United States	2
2020-05-01	covid 19	False	Missouri	United States	20
2020-05-01	covid	False	Missouri	United States	15
2020-05-01	coronavirus worldometer	False	Missouri	United States	4
2020-05-01	coronavirus us	False	Missouri	United States	2
2020-05-01	coronavirus updates today	False	Missouri	United States	2
2020-05-01	coronavirus updates	False	Missouri	United States	59
2020-05-01	coronavirus update missouri	False	Missouri	United States	5
2020-05-01	coronavirus update	False	Missouri	United States	86
2020-05-01	koronawirus	False	Wielkopolskie	Poland	89
2020-05-01	コロナウイルス	False	Tottori	Japan	1
2020-05-01	coronavirus united states	False	Missouri	United States	10
2020-05-01	コロナ	True	Tottori	Japan	100
2020-05-01	coronavirus uk	False	Missouri	United States	2
2020-05-01	coronavirus eeuu	False	Galicia	Spain	3
2020-05-01	wko	True	Upper Austria	Austria	1
2020-05-01	vd.ch	True	Vaud	Switzerland	53
2020-05-01	www.nsw.gov.au/covid-19	False	New South Wales	Australia	15
2020-05-01	coronavirus tracker	False	Missouri	United States	11
2020-05-01	coronavirus österreich	False	Upper Austria	Austria	100
2020-05-01	worldometers coronavirus	False	New South Wales	Australia	100
2020-05-01	coronavirus symptoms	False	Missouri	United States	7
2020-05-01	coronavirus	False	Upper Austria	Austria	19
2020-05-01	worldometer coronavirus	False	New South Wales	Australia	8
2020-05-01	coronavirus stats	False	Missouri	United States	2
2020-05-01	corona virus	False	Upper Austria	Austria	1
2020-05-01	who coronavirus update	False	New South Wales	Australia	2
2020-05-01	coronavirus statistics	False	Wielkopolskie	Poland	1
2020-05-01	coronavirus statistics	False	Missouri	United States	5
2020-05-01	www.irs.gov/coronavirus	False	Tennessee	United States	9
2020-05-01	usa coronavirus update	False	New South Wales	Australia	13
2020-05-01	coronavirus st louis mo	False	Missouri	United States	1
2020-05-01	coronavirus en galicia	False	Galicia	Spain	2
2020-05-01	wuhan china	True	Tennessee	United States	2
2020-05-01	tesco home delivery	True	Flintshire	United Kingdom	72
2020-05-01	usa coronavirus	False	New South Wales	Australia	3
2020-05-01	coronavirus pandemic two years	False	Missouri	United States	28
2020-05-01	worldometer coronavirus	False	Tennessee	United States	28
2020-05-01	symptoms of coronavirus	False	New South Wales	Australia	2
2020-05-01	coronavirus numbers	False	Missouri	United States	3
