Date	Query	IsImplicitIntent	State	Country	PopularityScore
2020-01-01	coronavirus	False	Michigan	United States	1
2020-01-01	coronavirus	False	Pennsylvania	United States	1
2020-01-01	p2 masks	True	Australian Capital Territory	Australia	1
2020-01-01	auswärtiges amt	True	North Rhine-Westphalia	Germany	1
2020-01-01	p2 masks	True	New South Wales	Australia	1
2020-01-02	coronavirus	False	California	United States	67
2020-01-02	webasto	True	North Rhine-Westphalia	Germany	1
2020-01-02	coronavirus	False	Ohio	United States	1
2020-01-02	corona virus	False	California	United States	100
2020-01-02	arrowe park hospital	True	Merseyside	United Kingdom	100
2020-01-02	nhs england	True	London	United Kingdom	100
2020-01-02	coronavirus	False	Missouri	United States	1
2020-01-02	public health england	True	Hertfordshire	United Kingdom	1
2020-01-02	nhs england	True	Greater Manchester	United Kingdom	1
2020-01-02	coronavirus	False	Pennsylvania	United States	1
2020-01-02	auswärtiges amt	True	Berlin	Germany	1
2020-01-02	auswärtiges amt	True	Rhineland-Palatinate	Germany	1
2020-01-02	auswärtiges amt	True	Hamburg	Germany	1
2020-01-02	nhs england	True	West Midlands	United Kingdom	1
2020-01-02	n95 mask	True	California	United States	1
2020-01-02	nhs england	True	West Yorkshire	United Kingdom	1
2020-01-02	coronavirus	False	Illinois	United States	1
2020-01-02	p2 masks	True	New South Wales	Australia	1
2020-01-02	auswärtiges amt	True	North Rhine-Westphalia	Germany	100
2020-01-02	coronavirus	False	Ontario	Canada	1
2020-01-02	nhs england	True	Merseyside	United Kingdom	1
2020-01-02	webasto	True	Bavaria	Germany	1
2020-01-02	auswärtiges amt	True	Baden-Wuerttemberg	Germany	1
2020-01-02	nhs england	True	East Sussex	United Kingdom	1
2020-01-02	coronavirus	False	New York	United States	1
2020-01-02	coronavirus	False	Tennessee	United States	1
2020-01-02	public health england	True	London	United Kingdom	1
2020-01-02	auswärtiges amt	True	Hesse	Germany	1
2020-01-02	auswärtiges amt	True	Bavaria	Germany	100
2020-01-03	auswärtiges amt	True	North Rhine-Westphalia	Germany	1
2020-01-03	coronavirus	False	Texas	United States	1
2020-01-03	nhs england	True	Hertfordshire	United Kingdom	1
2020-01-03	auswärtiges amt	True	Saxony	Germany	1
2020-01-03	auswärtiges amt	True	Berlin	Germany	1
2020-01-03	coronavirus	False	California	United States	100
2020-01-03	public health england	True	Hertfordshire	United Kingdom	100
2020-01-03	corona virus	False	California	United States	1
2020-01-03	auswärtiges amt	True	Hesse	Germany	1
2020-01-03	arrowe park hospital	True	Merseyside	United Kingdom	1
2020-01-03	nhs england	True	East Sussex	United Kingdom	1
2020-01-03	auswärtiges amt	True	Bavaria	Germany	1
2020-01-03	auswärtiges amt	True	Hamburg	Germany	1
2020-01-03	public health england	True	Greater Manchester	United Kingdom	1
2020-01-03	coronavirus	False	Virginia	United States	1
2020-01-03	nhs england	True	Essex	United Kingdom	1
2020-01-03	nhs england	True	London	United Kingdom	100
2020-01-03	public health england	True	London	United Kingdom	1
2020-01-03	public health england	True	West Midlands	United Kingdom	1
2020-01-03	coronavirus	False	New York	United States	1
