Date	Query	IsImplicitIntent	Country	PopularityScore
2020-01-01	kalitta air	True	United States	1
2020-01-01	sars virus	True	United States	15
2020-01-01	auswärtiges amt	True	Germany	100
2020-01-01	arrowe park hospital	True	United Kingdom	1
2020-01-01	冠状病毒	False	China	1
2020-01-01	webasto	True	Germany	1
2020-01-01	china virus	True	United States	15
2020-01-01	coronavirus hku1	False	United States	16
2020-01-01	corona virus	False	United States	13
2020-01-01	p2 masks australia	True	Australia	1
2020-01-01	public health england	True	United Kingdom	100
2020-01-01	p2 masks	True	Australia	100
2020-01-01	nhs england	True	United Kingdom	71
2020-01-01	coronavirus	False	United States	100
2020-01-01	n95 mask	True	United States	2
2020-01-02	auswärtiges amt	True	Germany	100
2020-01-02	christmas island	True	Australia	1
2020-01-02	china virus	True	United States	3
2020-01-02	corona virus	False	United States	35
2020-01-02	webasto	True	Germany	1
2020-01-02	sras	True	France	1
2020-01-02	coronavirus	False	Canada	1
2020-01-02	coronavirus infection	False	United States	1
2020-01-02	kalitta air	True	United States	1
2020-01-02	arrowe park hospital	True	United Kingdom	1
2020-01-02	coronavirus	False	United States	100
2020-01-02	biofire	True	United States	5
2020-01-02	public health england	True	United Kingdom	80
2020-01-02	biofire diagnostics	True	United States	5
2020-01-02	march air reserve base	True	United States	1
2020-01-02	nhs england	True	United Kingdom	100
2020-01-02	coronavirus hku1	False	United States	12
2020-01-02	n95 mask	True	United States	11
2020-01-02	p2 masks	True	Australia	100
2020-01-02	sars virus	True	United States	14
2020-01-02	coronovirus	False	United States	1
2020-01-03	coronovirus	False	United States	6
2020-01-03	sras	True	France	1
2020-01-03	corona virus	False	United States	31
2020-01-03	coronavirus hku1 isolation precautions	False	United States	1
2020-01-03	coronavirus	False	China	1
2020-01-03	冠状病毒	False	China	100
2020-01-03	n95 mask	True	United States	14
2020-01-03	public health england	True	United Kingdom	79
2020-01-03	coronavirus nl63	False	United States	1
2020-01-03	webasto	True	Germany	1
2020-01-03	biofire diagnostics	True	United States	7
2020-01-03	auswärtiges amt	True	Germany	100
2020-01-03	coronavirus	False	United States	100
2020-01-03	corona virus in adults	False	United States	4
2020-01-03	coronavirus hku1	False	United States	13
2020-01-03	arrowe park hospital	True	United Kingdom	16
2020-01-03	march air reserve base	True	United States	4
2020-01-03	kalitta air	True	United States	6
2020-01-03	sars virus	True	United States	5
2020-01-03	nhs england	True	United Kingdom	100
2020-01-03	biofire	True	United States	10
2020-01-03	coronavirus	False	United Kingdom	1
2020-01-04	arrowe park hospital	True	United Kingdom	1
2020-01-04	coronavirus	False	United States	100
2020-01-04	冠状病毒	False	China	1
2020-01-04	public health england	True	United Kingdom	100
2020-01-04	n95 mask	True	United States	6
2020-01-04	webasto	True	Germany	1
2020-01-04	p2 masks	True	Australia	1
2020-01-04	sars virus	True	United States	6
2020-01-04	biofire	True	United States	1
2020-01-04	corona virus	False	United States	32
2020-01-04	auswärtiges amt	True	Germany	100
2020-01-04	nhs england	True	United Kingdom	62
2020-01-04	coronavirus hku1	False	United States	6
2020-01-05	auswärtiges amt	True	Germany	100
2020-01-05	wuhan virus	True	China	1
2020-01-05	coronavirus	False	United States	100
2020-01-05	n95 mask	True	United States	6
2020-01-05	p2 masks	True	Australia	100
2020-01-05	冠状病毒	False	China	1
2020-01-05	webasto	True	Germany	1
2020-01-05	corona virus	False	United States	23
2020-01-05	p2 masks australia	True	Australia	2
2020-01-05	nhs england	True	United Kingdom	1
2020-01-05	corona virus in adults	False	United States	1
2020-01-05	coronavirus hku1	False	United States	1
2020-01-05	public health england	True	United Kingdom	100
2020-01-05	christmas island	True	Australia	1
2020-01-06	wuhan virus	True	United States	1
2020-01-06	coronavirus	False	United Kingdom	1
2020-01-06	コロナウイルス	False	Japan	1
2020-01-06	biofire	True	United States	9
2020-01-06	冠状病毒	False	China	100
2020-01-06	p2 masks	True	Australia	100
2020-01-06	kalitta air	True	United States	5
2020-01-06	china virus	True	United States	6
2020-01-06	n95 mask	True	United States	12
2020-01-06	public health england	True	United Kingdom	96
2020-01-06	webasto	True	Germany	1
2020-01-06	coronavirus hku1	False	United States	10
2020-01-06	christmas island	True	Australia	1
2020-01-06	nhs england	True	United Kingdom	100
2020-01-06	auswärtiges amt	True	Germany	100
2020-01-06	coronavirus	False	United States	100
2020-01-06	p2 masks australia	True	Australia	5
2020-01-06	biofire diagnostics	True	United States	3
2020-01-06	corona virus	False	United States	36
2020-01-06	coronavirus hku1 isolation precautions	False	United States	1
2020-01-06	coronavirus	False	China	1
2020-01-06	sras	True	France	1
2020-01-06	coronovirus	False	United States	2
2020-01-06	sars virus	True	United States	2
2020-01-06	arrowe park hospital	True	United Kingdom	14
2020-01-07	public health england	True	United Kingdom	94
2020-01-07	sras	True	France	1
2020-01-07	sars virus	True	United States	1
2020-01-07	biofire	True	United States	6
2020-01-07	christmas island	True	Australia	1
2020-01-07	coronavirus hku1	False	United States	8
2020-01-07	biofire diagnostics	True	United States	3
2020-01-07	p2 masks	True	Australia	100
2020-01-07	冠状病毒	False	China	1
2020-01-07	wuhan virus	True	United States	1
2020-01-07	arrowe park hospital	True	United Kingdom	1
2020-01-07	n95 mask	True	United States	23
2020-01-07	china virus	True	United States	8
2020-01-07	coronavirus infection	False	United States	1
2020-01-07	corona virus	False	United States	30
